	Yritys	Kotipaikka	Toimiala	
22.10.2025	Emon Tanvir Hossain	Mikkeli	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
22.10.2025	onni logistics	Espoo		
22.10.2025	Ethos	Turku	62010 - Ohjelmistojen suunnittelu ja valmistus	
22.10.2025	Sahar Hiustaiteilija	Helsinki		
22.10.2025	AndonPro	Helsinki		
22.10.2025	Islam Ijajul	Mikkeli	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
22.10.2025	Uusitalo Veikko Juhani	Nivala	02100 - Metsänhoito	
22.10.2025	Kotalan kaupat	Helsinki	47113 - Valintamyymälät (yli 100, alle 400 m2)	
22.10.2025	Eklund Markku Tapani	Kuopio	02100 - Metsänhoito	
22.10.2025	Shiv	Espoo		
22.10.2025	HTM Hanna Lammi	Hämeenlinna		
22.10.2025	koulutettuhierojamalin	Helsinki		
22.10.2025	Arctura	Vantaa		
22.10.2025	Narmawala Muhammad Hussain Mohmed Usman	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
22.10.2025	Thiranage Dinushi Shamain Fernando	Mikkeli	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
22.10.2025	Chaos by Dinatra	Oulu	96021 - Parturit ja kampaamot	
22.10.2025	Iidan hiusnurkkaus	Veteli	96021 - Parturit ja kampaamot	
22.10.2025	FITWIGERMEN	Vantaa	49320 - Taksiliikenne	
22.10.2025	Faizan Ali	Espoo	53200 - Muu posti-, jakelu- ja kuriiritoiminta	

Päivämäärä	Yritys	Kotipaikka	Toimiala	
22.10.2025	TechLingo	Turku		
22.10.2025	Alaniva Ann-Christine Annika	Rovaniemi	96090 - Muualla luokittelemattomat henkilökohtaiset palvelut	
22.10.2025	Miki Fin	Kuusamo		
22.10.2025	Tmi Jenni Kuoppala	Helsinki		
22.10.2025	Mika Mustonen	Rovaniemi		
22.10.2025	Al Mamun Shah Mahmudul Hasan	Helsinki	81210 - Kiinteistöjen siivous	
22.10.2025	Parturi-kampaamo Onira	Varkaus		
22.10.2025	Tmi Thomas Pettersson	Helsinki	70220 - Muu liikkeenjohdon konsultointi	
22.10.2025	Puusku	Lohja		
22.10.2025	Rok export import Oy konkurssipesä	Helsinki	46909 - Muualla luokittelematon tukkukauppa	
22.10.2025	Peik Peter Cygnel konkursbo	Kemiönsaari	71126 - Muu rakennustekninen palvelu	
22.10.2025	Funkti Oy konkurssipesä	Jyväskylä	74109 - Teollinen muotoilu ym.	
22.10.2025	City Car Wash Oy konkurssipesä	Savonlinna	45201 - Moottoriajoneuvojen huolto ja korjaus (pl. renkaat)	
22.10.2025	G&R Group Oy konkurssipesä	Turku	96011 - Pesulapalvelut yrityksille	
22.10.2025	Kolme Kiveä Food Service Oy konkurssipesä	Lappeenranta	56102 - Kahvila-ravintolat	
22.10.2025	Agrotel GmbH			
22.10.2025	Hillman Gävle AB		71122 - Maa- ja vesirakentamisen tekninen palvelu	
22.10.2025	ANDRE DEUS SANTOS, UNIPESSOAL, LDA			
22.10.2025	BELMAN A/S			
22.10.2025	Evaltikon s.r.o		68209 - Muiden kiinteistöjen vuokraus ja hallinta	
22.10.2025	BLACKSEA WIND SERVICE S.R.L.		43210 - Sähköasennus	
22.10.2025	Külmavares OÜ			
22.10.2025	Decha i Åre AB			
22.10.2025	Consada AB		71126 - Muu rakennustekninen palvelu	
22.10.2025	HYDROHROM s.r.o.			
21.10.2025	Keskinäinen kiinteistöosakeyhtiö Tenoniityn Jätkän koju	Utsjoki		
21.10.2025	Vilenius Oy	Tampere		
21.10.2025	Udam Oy	Helsinki		
21.10.2025	Jura Consulting Oy	Pirkkala		
21.10.2025	Asianajotoimisto Puittinen Oy	Helsinki		
21.10.2025	Giftly Oy	Järvenpää		
21.10.2025	Pirttilahet Oy	Haapajärvi		
21.10.2025	Pirantti Oy	Joensuu		
21.10.2025	Pyörähuolto Sotku Oy	Pirkkala		
21.10.2025	NTK Pro-Siivous Oy	Vantaa		
21.10.2025	Luna&House oy	Hämeenlinna		
21.10.2025	Fiidback Oy	Joensuu		
21.10.2025	Foilpoint Service Oy	Salo		
21.10.2025	Cleenia Oy	Turku		
21.10.2025	ATCO Oy	Vantaa		
21.10.2025	Lakeuden ProRakennus Oy	Isokyrö		
21.10.2025	OnniLog Oy	Sipoo		
21.10.2025	Rooni Group Oy	Kristiinankaupunki		
21.10.2025	VH Management Oy	Karkkila		
21.10.2025	Wild North Reindeer Oy	Utsjoki		
21.10.2025	Alo Helsinki	Helsinki		
21.10.2025	ARTH Oy	Laihia		
21.10.2025	Marjan Kone Oy	Reisjärvi		
21.10.2025	Koivula Oy	Halsua		
21.10.2025	FlowLife Ab	Raasepori		
21.10.2025	NiXTec	Jomala		
21.10.2025	Victa Oy	Kokemäki		
21.10.2025	VLM Oy	Salo		
21.10.2025	Kemin Sotekiinteistöt Oy	Kemi		
21.10.2025	Artistiasema Oy	Valkeakoski		
21.10.2025	Potenssi Oy	Tampere		
21.10.2025	Uusimaa Service Oy	Helsinki		
21.10.2025	RTS5739	Sastamala		
21.10.2025	Helppokäyttöinen Oy	Vantaa		
21.10.2025	Fields Oy	Kerava		
21.10.2025	Ekkan Oy	Tuusula		
21.10.2025	KK Tähti Group Oy	Oulu		
21.10.2025	IPI-Consulting Oy	Helsinki		
21.10.2025	AVA OY	Helsinki		
21.10.2025	Kaarinan Autokorjaamo Oy	Turku		
21.10.2025	Karnes Oy	Tampere		
21.10.2025	R&R Consulting Oy	Helsinki		
21.10.2025	SoloQual Oy	Rovaniemi		
21.10.2025	RaitaRane Oy	Espoo		
21.10.2025	TP Ocean Oy	Helsinki		
21.10.2025	Tehoste Ohjelmistot Oy	Tampere		
21.10.2025	Suomipähkinä Oy	Raisio		
21.10.2025	Tahvon Pippuri Oy	Asikkala		
21.10.2025	BroAxis Oy	Vaasa		
21.10.2025	Rönnberg Oy	Helsinki		
21.10.2025	Armas Consulting Oy	Nurmijärvi		
21.10.2025	Nordic Auto Import Oy	Kouvola		
21.10.2025	Sompola Oy	Järvenpää		
21.10.2025	Kajo Consulting Oy	Helsinki		
21.10.2025	Darya Oy	Helsinki		
21.10.2025	JS Urakointi	Pomarkku		
21.10.2025	Starforest's Oy	Mikkeli		
21.10.2025	02 Laivaus Oy	Enonkoski		
21.10.2025	Seres Novi Oy	Helsinki		
21.10.2025	Auctus Ab	Maarianhamina		
21.10.2025	Kuunvalo Oy	Tampere		
21.10.2025	Snø & Storm Media Oy	Helsinki		
21.10.2025	Poulsen J Marketing Oy	Vantaa		
21.10.2025	Dimple Oy	Espoo		
21.10.2025	Isoherranen Mia Elisa	Riihimäki		
21.10.2025	Petri Metsälä	Porvoo		
21.10.2025	Viki	Helsinki		
21.10.2025	Onna Bake Vietnam	Helsinki		
21.10.2025	Tmi Saara Hämäläinen	Lahti		
21.10.2025	Skfysio	Nokia		
21.10.2025	Aqlana Traders	Espoo		
21.10.2025	Glowly	Lahti		
21.10.2025	Luxury of aristocrats	Vantaa		
21.10.2025	Lepola	Savonlinna		
21.10.2025	Puuhakeppi	Lohja	74909 - Muu ammatillinen, tieteellinen ja tekninen toiminta	

Päivämäärä	Yritys	Kotipaikka	Toimiala	
21.10.2025	MJ-MRK tmi	Oulu		
21.10.2025	Timo Kissaniitty	Pori		
21.10.2025	Nam	Helsinki		
21.10.2025	Juho Viljami Lehtinen	Järvenpää		
21.10.2025	TMI Jimi Orenius	Tampere		
21.10.2025	Nalleherran Tunne ja Toiminta	Pudasjärvi		
21.10.2025	Mä Voin! Tmi	Helsinki		
21.10.2025	Bäckin taksi	Lapinlahti		
21.10.2025	Psykoterapiapalvelu Antti Mäntylä	Turku		
21.10.2025	Automik Leads	Helsinki		
21.10.2025	Netta Venesmäki	Espoo		
21.10.2025	Aito Lakipalvelu	Helsinki		
21.10.2025	Red Eyed Rabbit Oy konkurssipesä	Kuopio	47763 - Puutarha-alan vähittäiskauppa	
21.10.2025	Röntgentekno Oy konkurssipesä	Hanko	46462 - Laboratorio- ja sairaanhoitovälineiden tukkukauppa	
21.10.2025	Winkman TT OÜ		77390 - Muiden koneiden ja laitteiden vuokraus ja leasing	
21.10.2025	Drougge Enterprises AB		64990 - Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta)	
21.10.2025	BRILLIANT STAGES LIMITED		77390 - Muiden koneiden ja laitteiden vuokraus ja leasing	
21.10.2025	OÜ LUIGAND		43999 - Muu muualla luokittelematon erikoistunut rakennustoiminta	
21.10.2025	Marvon Ehitus OÜ		41200 - Asuin- ja muiden rakennusten rakentaminen	
21.10.2025	ADR WIND S.R.L.		43210 - Sähköasennus	
21.10.2025	Valkealan kamariorkesteri ry	Kouvola		
21.10.2025	Musisoikko ry	Oulu		
21.10.2025	Move Together Tuusula ry	Tuusula		
21.10.2025	SLL Group Oy	Pori	64200 - Rahoitusalan holdingyhtiöiden toiminta	
21.10.2025	Napapiirin Nuohous ja LVI Oy	Rovaniemi		
21.10.2025	Rang Mahal Indian Restaurant Oy	Rovaniemi		
21.10.2025	Newport Holding Oy	Inkoo		
21.10.2025	Sakasi Oy	Alavieska		
21.10.2025	Metsärannan vilja Oy	Iitti		
21.10.2025	VV Fysio	Joensuu	86901 - Fysioterapia	
21.10.2025	Shah Sacksha	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
21.10.2025	Obalana Oluwatoinsola Abraham	Valkeakoski	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
21.10.2025	Kashif Kashif	Oulu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
21.10.2025	Taikavilla	Kuusamo	55903 - Lomamökkien vuokraus	
21.10.2025	Akhter Mahinur	Kouvola	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
21.10.2025	Jahan Israt	Oulu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
21.10.2025	Ibrahim Faiza	Oulu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
21.10.2025	Niloy Joydeep Das	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
21.10.2025	Tmi Jere Kangas	Tervola	01611 - Kasvinviljelyn tukipalvelut	
21.10.2025	Virtanen Tomi Ilari	Helsinki	70220 - Muu liikkeenjohdon konsultointi	
21.10.2025	Fatima Nisar	Joensuu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
21.10.2025	Sitoula Swaroop Kumar	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
21.10.2025	Maryniuk	Joensuu	45201 - Moottoriajoneuvojen huolto ja korjaus (pl. renkaat)	
21.10.2025	Success Food Delivery	Jyväskylä		
21.10.2025	Litegott Jins kitchen	Raasepori	47990 - Muu vähittäiskauppa muualla kuin myymälöissä	
21.10.2025	Savela Luka Onni Kristian	Sastamala	01620 - Kotieläintaloutta palveleva toiminta	
21.10.2025	Sharma Namita	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
21.10.2025	Peprah Constance	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
21.10.2025	Ashfaq Hafsa	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
21.10.2025	VH Services	Vantaa		
21.10.2025	Korhonen Maiju Riina	Kuopio	59110 - Elokuvien, videoiden ja televisio-ohjelmien tuotanto	
21.10.2025	Sihvoin Joni Valtteri	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
21.10.2025	Futarisielu	Helsinki		
21.10.2025	Ruokonen Roope Juhani	Espoo	78200 - Työvoiman vuokraus	
21.10.2025	Mahin Mossaddhak All	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
21.10.2025	Jayasundara Mudiyansele Gedara Dinithi Thiranja Jayasundara	Oulu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
21.10.2025	Ajatuspuutarha	Tampere		
21.10.2025	Rahman Md Nafiur	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
21.10.2025	Kokkolan AutoHouse	Kokkola	45112 - Henkilöautojen ja kevyiden moottoriajoneuvojen vähittäiskauppa	
21.10.2025	Keskinen Stiina Ella Maria	Helsinki	96022 - Kauneudenhoitopalvelut	
21.10.2025	Juvonen Eero Jaakko Eemeli	Helsinki	82990 - Muut palvelut liike-elämälle	
21.10.2025	Hosen Md Rasel	Mikkeli	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
21.10.2025	Enholm Victor Alexander	Vaasa	68320 - Kiinteistöjen isännöinti	
21.10.2025	Tuominen Konsta Eemeli	Turku	43320 - Rakennuspuusepän asennustyöt	
21.10.2025	Namdar Ghullam Sakhi	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
21.10.2025	Puheterapia- ja Psykoterapiapalvelu Anna-Riikka Jämsä	Oulu	86909 - Muu terveyspalvelu	
21.10.2025	Lilia Nails	Oulu		
21.10.2025	Vilpas Pihla Liisi Viola	Helsinki	96022 - Kauneudenhoitopalvelut	
21.10.2025	Jere Lampinen	Turku	86909 - Muu terveyspalvelu	
21.10.2025	Måndag Creative Oy konkurssipesä	Helsinki	73111 - Mainostoimistot	
21.10.2025	Sandrex OÜ			
21.10.2025	Nordrest Holding Ab			
21.10.2025	AbbVie Inc.			
21.10.2025	Spillfabrikken AB			
20.10.2025	Kodesjärven Näyttämöharrastajat ry	Isojoki		
20.10.2025	Asunto Oy Porvoon Taidetehtaanranta	Porvoo		
20.10.2025	Kiinteistö Oy Töölön Pysäköinti	Helsinki		
20.10.2025	Asunto Oy Espoon Artesaaninkatu 1	Espoo		
20.10.2025	Vinski Alapuranen Oy	Kempele		
20.10.2025	RP Capital Oy	Kuopio		
20.10.2025	TSL Consulting Oy	Vantaa		
20.10.2025	Hopp På Topp	Raasepori		
20.10.2025	Joosepin Pojat Oy	Kauhava		
20.10.2025	Lumi Oy	Vantaa		
20.10.2025	tampereen sammutinhuolto oy	Tampere		
20.10.2025	Veljesten Viestintä NC Oy	Helsinki		
20.10.2025	Mekohela Oy	Laukaa		
20.10.2025	Kiinteistö Oy Voikukkamaa	Kannus		
20.10.2025	Karkki-Pate Oy	Helsinki		
20.10.2025	Studio Soul	Loviisa		
20.10.2025	VK-Orkesteri Oy	Kauhava		
20.10.2025	Kiinteistö Oy Turun Telakan Stellar	Helsinki		
20.10.2025	KL Industrial Oy	Helsinki		
20.10.2025	Länsi-Suomen Asuntovuokraus Oy	Lieto		
20.10.2025	VÄLKE Oy	Tampere		
20.10.2025	Kajan Advisory Oy	Espoo		
20.10.2025	Stride Oy	Ylöjärvi		
20.10.2025	ProMason Oy	Loviisa		
20.10.2025	Backman Holdings Oy	Espoo		
20.10.2025	S&R INTERNATIONAL Oy	Lappeenranta		



Päivämäärä	Yritys	Kotipaikka	Toimiala	
20.10.2025	SafeCell	Kaarina		
20.10.2025	Moraius Oy	Espoo		
20.10.2025	Agent Shell Oy	Tampere		
20.10.2025	Hiljalleen Oy	Paimio		
20.10.2025	Tilivääpeli Oy	Järvenpää		
20.10.2025	Taimi Platform Oy	Lahti		
20.10.2025	KILPI Rakennuttajat Oy	Espoo		
20.10.2025	MVS-Supervision	Tampere		
20.10.2025	Birra Solutions Oy	Espoo		
20.10.2025	JOKV Oy	Oulu		
20.10.2025	Sarkakari Capital Oy	Vantaa		
20.10.2025	LTA Partners Oy	Järvenpää		
20.10.2025	Future Invest Oy	Hyvinkää		
20.10.2025	Idea Sähkö Oy	Tuusula		
20.10.2025	HoneyDreams from the BackCorner of the Honey Box Oy	Helsinki		
20.10.2025	Railway Systems Finland oy	Keuruu		
20.10.2025	Kaze Oy	Rovaniemi		
20.10.2025	MTU Partners Oy	Helsinki		
20.10.2025	Nikun Group oy	Tampere		
20.10.2025	Fincast Oy	Vihti		
20.10.2025	Firewise Nordic Oy	Mikkeli		
20.10.2025	Saavutettava Eurooppa Oy	Espoo		
20.10.2025	Promenade Holdings Oy	Oulu		
20.10.2025	Freimi	Vantaa		
20.10.2025	Cc oy	Turku		
20.10.2025	Ravintola Talli Oy	Seinäjoki		
20.10.2025	Fimport Partners Oy	Raasepori		
20.10.2025	MTM CONSTRUCTION OY	Raisio		
20.10.2025	Saarivirta Oy	Kankaanpää		
20.10.2025	Vanamo Haus Oy	Helsinki		
20.10.2025	JHM Partners Oy	Vantaa		
20.10.2025	Affendix Oy	Tampere		
20.10.2025	Old boys box Oy	Vantaa		
20.10.2025	Arskacon	Hämeenlinna		
20.10.2025	mju:factor Oy	Lohja		
20.10.2025	NUNu Oy	Helsinki		
20.10.2025	Arovina Oy	Vantaa		
20.10.2025	Riitta Granlund Invest Oy	Oulu		
20.10.2025	Pro Wrap oy	Vantaa		
20.10.2025	2 palvelut oy	Helsinki		
20.10.2025	Tapanin Elämysverstas oy	Muonio		
20.10.2025	Dhanu Oy	Espoo		
20.10.2025	Kataja Liiketoiminnat Oy	Tampere		
20.10.2025	Northern Family Capital Oy	Kuopio		
20.10.2025	Muzik Heritage Oy	Riihimäki		
20.10.2025	HealCap Oy	Rovaniemi		
20.10.2025	Kiinteistö Oy Kerantie 2	Pieksämäki		
20.10.2025	VilleO Oy	Rauma		
20.10.2025	Pohjolan Katto Oy	Tuusula		
20.10.2025	Jokivoima Oy	Joensuu		
20.10.2025	Kraskowski Oy	Helsinki		
20.10.2025	Polbas Gård Oy	Kirkkonummi		
20.10.2025	CRACI Corporation	Helsinki		
20.10.2025	RayaKH palvelut	Vantaa		
20.10.2025	samoilov.tattoo	Seinäjoki		
20.10.2025	Tmi Sirkku Hellman	Kirkkonummi		
20.10.2025	Tmi Välkki Susanna	Tampere	02200 - Puunkorjuu	
20.10.2025	Sisuart Suomi	Jyväskylä		
20.10.2025	Sa s Muse and Motion	Pieksämäki		
20.10.2025	Sarwar Ravintola	Helsinki		
20.10.2025	ACACIA	Valkeakoski		
20.10.2025	KultaKori Fresh-Mart	Tampere		
20.10.2025	Prajal Poudel	Vantaa		
20.10.2025	OSA Venture	Vantaa		
20.10.2025	Sumfaralla Productions	Helsinki		
20.10.2025	Parturi-kampaamo Riistavuori	Nurmijärvi		
20.10.2025	Ajatuksen lähde	Ulvila		
20.10.2025	Aila Transport	Vantaa		
20.10.2025	Parturi-kampaamo Moona Lehtonen	Mänttä-Vilppula		
20.10.2025	Juu Plus	Espoo		
20.10.2025	TMI Asaf 61	Masku		
20.10.2025	Siltanen Performance	Turku		
20.10.2025	W Consulting & Production	Rovaniemi		
20.10.2025	Fysioterapia Alexi Mäkijärvi	Helsinki		
20.10.2025	Tea Tuominen Art	Espoo		
20.10.2025	TMI Karri Suuronen	Espoo		
20.10.2025	Kaksin Oy konkurssipesä	Oulu	88999 - Muut muualla luokittelemattomat sosiaalihuollon avopalvelut	
20.10.2025	J&J Lakkapää Oy konkurssipesä	Ylitornio	82110 - Yhdistetyt toimistopalvelut	
20.10.2025	OÜ AARAIN FURNITURE		16239 - Muu rakennuspuusepäntuotteiden valmistus	
20.10.2025	ELECTRO DINAMIC JO-AN SL		43210 - Sähköasennus	
20.10.2025	BIOCONTROL POLSKA SP. Z O.O.		26510 - Mittaus-, testaus- ja navigointivälineiden ja -laitteiden valmistus	
20.10.2025	YOU & ME POWER AB		43120 - Rakennuspaikan valmistelutyöt	
20.10.2025	GEOVISTA AKTIEBOLAG		71129 - Muu tekninen palvelu	
20.10.2025	Nurmon lukion tuki Ry	Seinäjoki		
20.10.2025	Classic Barber Avoin Yhtiö	Kokemäki		
20.10.2025	Väliaine ry	Oulu		
20.10.2025	Kuljetus M Kivelä Oy	Sysmä		
20.10.2025	Rafael lnvestering Ab	Geta		
20.10.2025	Akbari Shahar Yar	Riihimäki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
20.10.2025	Petri Virtanen SA	Oulu		
20.10.2025	Perola Markus	Helsinki	74909 - Muu ammatillinen, tieteellinen ja tekninen toiminta	
20.10.2025	Pham Nhat Huy	Savonlinna	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
20.10.2025	HenArt	Helsinki		
20.10.2025	Tmi Konsta Ikäläinen	Helsinki		
20.10.2025	Aktas Hikmet	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
20.10.2025	Mbawike Boniface Chinyere	Varkaus	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
20.10.2025	Psykoterapeutti Kirsikka Keihäri	Porvoo		
20.10.2025	Dang Thi Huong Giang	Savonlinna	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
20.10.2025	Jennin Yksisarviset	Inkoo		
20.10.2025	Fynley	Vaasa		


Päivämäärä	Yritys	Kotipaikka	Toimiala	
20.10.2025	PL Arts	Helsinki	90030 - Taiteellinen luominen	
20.10.2025	Rahman Md Shihab	Turku	70220 - Muu liikkeenjohdon konsultointi	
20.10.2025	Hakasalo Saanatuulia	Turku	85510 - Urheilu- ja liikuntakoulutus	
20.10.2025	Ali Tabaraka Binte	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
20.10.2025	Zhang Jian	Oulu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
20.10.2025	Haq Fahimul	Oulu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
20.10.2025	Ahmed Md Sabbir	Mikkeli	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
20.10.2025	Järveläinen Santeri Tero Mikael	Lappeenranta	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
20.10.2025	Buckman Styling Room	Tornio	47799 - Muiden käytettyjen tavaroiden vähittäiskauppa	
20.10.2025	Vilma Fagerlund	Espoo		
20.10.2025	Saha Tonmoy	Espoo	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
20.10.2025	Lin Cheng Jie	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
20.10.2025	Zhang Mengjiao	Jyväskylä	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
20.10.2025	Dhrobo Shihab Mahmud	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
20.10.2025	Rauhala Heli Maaria	Turku	85510 - Urheilu- ja liikuntakoulutus	
20.10.2025	Bajwa Traders	Espoo		
20.10.2025	Mattila Amanda Emilia	Forssa	43341 - Maalaus	
20.10.2025	Khan Danyal Ahmad	Jyväskylä	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
20.10.2025	Saaranen Saaga Maria	Tampere	90030 - Taiteellinen luominen	
20.10.2025	PintaFix	Petäjävesi	41200 - Asuin- ja muiden rakennusten rakentaminen	
20.10.2025	MathMentor	Lahti	85599 - Muut koulutusta antavat yksiköt	
20.10.2025	OLENA	Helsinki	96021 - Parturit ja kampaamot	
20.10.2025	Yego Christabel Muchahi	Tampere	70220 - Muu liikkeenjohdon konsultointi	
20.10.2025	Abir Masumul Haque	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
20.10.2025	Tmi Pätsi J.	Rovaniemi		
20.10.2025	Ahmad Muhammad	Turku	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
20.10.2025	Hierontapalvelut Timo Vahe	Oulu	86909 - Muu terveyspalvelu	
